iter	Passed	Remaining
413	3138	4443
414	3145	4434
415	3151	4424
416	3157	4414
417	3164	4406
418	3171	4397
419	3177	4388
420	3183	4378
421	3189	4368
422	3196	4359
423	3202	4350
424	3209	4341
425	3215	4332
426	3221	4322
427	3228	4314
428	3234	4305
429	3240	4295
430	3246	4285
431	3252	4276
432	3259	4268
433	3265	4258
434	3272	4250
435	3279	4241
436	3284	4231
437	3292	4224
438	3298	4215
439	3304	4206
440	3310	4196
441	3316	4187
442	3323	4179
443	3329	4169
444	3336	4161
445	3343	4153
446	3349	4144
447	3357	4136
448	3363	4127
449	3369	4118
450	3376	4109
451	3382	4100
452	3389	4092
453	3396	4084
454	3403	4076
455	3409	4068
456	3416	4059
457	3423	4050
458	3429	4042
459	3436	4033
460	3442	4025
461	3449	4017
462	3455	4008
463	3462	3999
464	3470	3992
465	3476	3983
466	3482	3974
467	3488	3965
468	3495	3957
469	3502	3949
470	3508	3940
471	3514	3931
472	3520	3922
473	3526	3913
474	3533	3905
475	3539	3896
476	3546	3888
477	3552	3879
478	3558	3870
479	3565	3862
480	3570	3853
481	3577	3844
482	3583	3835
483	3590	3827
484	3597	3820
485	3603	3811
486	3609	3802
487	3616	3794
488	3623	3786
489	3631	3780
490	3638	3771
491	3645	3764
492	3652	3756
493	3658	3747
494	3666	3740
495	3674	3733
496	3682	3727
497	3689	3718
498	3696	3711
499	3703	3703
500	3710	3695
501	3717	3687
502	3723	3679
503	3731	3672
504	3737	3663
505	3745	3656
506	3752	3648
507	3759	3641
508	3766	3633
509	3774	3626
510	3780	3617
511	3787	3609
512	3793	3601
513	3799	3592
514	3806	3584
515	3813	3577
516	3819	3568
517	3827	3561
518	3833	3553
519	3840	3544
520	3846	3536
521	3853	3528
522	3859	3520
523	3866	3511
524	3873	3504
525	3879	3495
526	3885	3487
527	3891	3478
528	3897	3470
529	3904	3462
530	3910	3454
531	3917	3445
532	3924	3438
533	3930	3429
534	3937	3422
535	3944	3414
536	3950	3405
537	3956	3397
538	3961	3388
539	3968	3380
540	3974	3372
541	3980	3363
542	3986	3355
543	3992	3347
544	4000	3339
545	4006	3331
546	4012	3323
547	4018	3314
548	4024	3306
549	4031	3298
550	4037	3290
551	4043	3281
552	4050	3273
553	4056	3266
554	4063	3258
555	4070	3250
556	4076	3242
557	4082	3234
558	4089	3226
559	4095	3217
560	4101	3209
561	4108	3201
562	4114	3193
563	4120	3185
564	4127	3177
565	4133	3169
566	4139	3161
567	4146	3153
568	4152	3145
569	4158	3137
570	4164	3128
571	4170	3120
572	4177	3113
573	4183	3105
574	4190	3097
575	4196	3089
576	4202	3081
577	4209	3073
578	4215	3065
579	4221	3057
580	4227	3049
581	4234	3041
582	4240	3033
583	4247	3025
584	4253	3017
585	4260	3009
586	4266	3001
587	4272	2993
588	4278	2985
589	4285	2977
590	4291	2969
591	4297	2961
592	4303	2953
593	4310	2946
594	4316	2938
595	4323	2930
596	4330	2922
597	4336	2915
598	4342	2907
599	4349	2899
600	4355	2891
601	4362	2884
602	4369	2876
603	4376	2869
604	4382	2861
605	4389	2854
606	4396	2846
607	4403	2839
608	4409	2831
609	4416	2823
610	4422	2815
611	4428	2807
612	4436	2800
613	4442	2792
614	4448	2785
615	4455	2777
616	4461	2769
617	4468	2761
618	4474	2753
619	4480	2746
620	4486	2738
621	4492	2730
622	4499	2722
623	4505	2714
624	4511	2707
625	4518	2699
626	4524	2691
627	4531	2684
628	4537	2676
629	4543	2668
630	4549	2660
631	4555	2652
632	4562	2645
633	4568	2637
634	4575	2629
635	4581	2622
636	4587	2614
637	4594	2606
638	4600	2598
639	4606	2591
640	4613	2583
641	4619	2576
642	4626	2568
643	4633	2561
644	4639	2553
645	4646	2546
646	4652	2538
647	4658	2530
648	4664	2522
649	4670	2515
650	4677	2507
651	4683	2499
652	4689	2491
653	4696	2484
654	4702	2477
655	4709	2469
656	4715	2461
657	4722	2454
658	4728	2446
659	4733	2438
660	4740	2431
661	4746	2423
662	4752	2415
663	4759	2408
664	4765	2400
665	4771	2393
666	4777	2385
667	4784	2377
668	4790	2370
669	4797	2362
670	4803	2355
671	4810	2347
672	4816	2340
673	4823	2333
674	4830	2325
675	4836	2318
676	4843	2310
677	4849	2303
678	4856	2295
679	4862	2288
680	4868	2280
681	4874	2273
682	4881	2265
683	4887	2258
684	4893	2250
685	4900	2243
686	4906	2235
687	4912	2227
688	4919	2220
689	4925	2212
690	4931	2205
691	4937	2197
692	4943	2190
693	4951	2183
694	4957	2175
695	4963	2168
696	4970	2160
697	4976	2153
698	4982	2145
699	4988	2138
700	4995	2130
701	5001	2123
702	5007	2115
703	5014	2108
704	5020	2100
705	5026	2093
706	5033	2086
707	5039	2078
708	5045	2071
709	5051	2063
710	5057	2055
711	5064	2048
712	5070	2041
713	5076	2033
714	5083	2026
715	5089	2018
716	5096	2011
717	5102	2004
718	5108	1996
719	5115	1989
720	5121	1981
721	5128	1974
722	5134	1966
723	5140	1959
724	5146	1952
725	5153	1944
726	5159	1937
727	5165	1930
728	5171	1922
729	5178	1915
730	5184	1907
731	5191	1900
732	5197	1893
733	5204	1886
734	5211	1879
735	5217	1871
736	5224	1864
737	5231	1857
738	5237	1849
739	5243	1842
740	5249	1834
741	5256	1827
742	5262	1820
743	5269	1813
744	5275	1805
745	5282	1798
746	5288	1791
747	5294	1783
748	5300	1776
749	5307	1769
750	5313	1761
751	5319	1754
752	5326	1747
753	5332	1739
754	5339	1732
755	5345	1725
756	5352	1718
757	5358	1710
758	5364	1703
759	5371	1696
760	5377	1688
761	5384	1681
762	5390	1674
763	5396	1667
764	5403	1659
765	5409	1652
766	5416	1645
767	5422	1638
768	5428	1630
769	5434	1623
770	5441	1616
771	5447	1608
772	5453	1601
773	5460	1594
774	5467	1587
775	5474	1580
776	5480	1572
777	5486	1565
778	5492	1558
779	5499	1551
780	5505	1543
781	5511	1536
782	5518	1529
783	5525	1522
784	5531	1515
785	5538	1507
786	5544	1500
787	5550	1493
788	5556	1485
789	5562	1478
790	5568	1471
791	5574	1464
792	5581	1456
793	5587	1449
794	5594	1442
795	5600	1435
796	5606	1427
797	5612	1420
798	5619	1413
799	5625	1406
800	5632	1399
801	5638	1392
802	5644	1384
803	5650	1377
804	5725	1387
805	5732	1379
806	5739	1372
807	5758	1368
808	5766	1361
809	5772	1354
810	5778	1346
811	5784	1339
812	5791	1332
813	5798	1324
814	5804	1317
815	5811	1310
816	5817	1303
817	5823	1295
818	5829	1288
819	5836	1281
820	5842	1273
821	5848	1266
822	5855	1259
823	5861	1251
824	5869	1245
825	5876	1237
826	5882	1230
827	5888	1223
828	5895	1215
829	5901	1208
830	5907	1201
831	5913	1194
832	5919	1186
833	5925	1179
834	5932	1172
835	5939	1165
836	5945	1157
837	5951	1150
838	5957	1143
839	5963	1135
840	5970	1128
841	5976	1121
842	5983	1114
843	5989	1107
844	5996	1099
845	6002	1092
846	6008	1085
847	6015	1078
848	6021	1071
849	6028	1063
850	6035	1056
851	6041	1049
852	6048	1042
853	6055	1035
854	6061	1027
855	6068	1020
856	6074	1013
857	6081	1006
858	6088	999
859	6094	992
860	6101	985
861	6108	977
862	6115	970
863	6121	963
864	6128	956
865	6134	949
866	6140	941
867	6147	934
868	6153	927
869	6159	920
870	6166	913
871	6172	906
872	6179	898
873	6185	891
874	6192	884
875	6198	877
876	6204	870
877	6211	863
878	6217	855
879	6223	848
880	6229	841
881	6236	834
882	6242	827
883	6249	820
884	6255	812
885	6262	805
886	6268	798
887	6274	791
888	6280	784
889	6286	777
890	6293	769
891	6300	762
892	6308	755
893	6314	748
894	6321	741
895	6327	734
896	6333	727
897	6340	720
898	6346	712
899	6352	705
900	6358	698
901	6364	691
902	6370	684
903	6377	677
904	6384	670
905	6390	663
906	6396	655
907	6403	648
908	6409	641
909	6416	634
910	6422	627
911	6429	620
912	6435	613
913	6442	606
914	6449	599
915	6455	592
916	6461	584
917	6468	577
918	6474	570
919	6480	563
920	6486	556
921	6492	549
922	6498	542
923	6504	535
924	6510	527
925	6517	520
926	6524	513
927	6530	506
928	6536	499
929	6542	492
930	6549	485
931	6555	478
932	6559	471
933	6566	464
934	6572	456
935	6579	449
936	6585	442
937	6592	435
938	6598	428
939	6604	421
940	6610	414
941	6616	407
942	6623	400
943	6629	393
944	6636	386
945	6643	379
946	6649	372
947	6655	365
948	6661	358
949	6668	350
950	6675	343
951	6681	336
952	6688	329
953	6695	322
954	6702	315
955	6708	308
956	6714	301
957	6720	294
958	6727	287
959	6733	280
960	6740	273
961	6745	266
962	6752	259
963	6759	252
964	6765	245
965	6772	238
966	6778	231
967	6784	224
968	6791	217
969	6797	210
970	6804	203
971	6810	196
972	6817	189
973	6824	182
974	6830	175
975	6836	168
976	6843	161
977	6849	154
978	6855	147
979	6862	140
980	6868	133
981	6874	126
982	6881	119
983	6888	112
984	6894	104
985	6900	97
986	6907	90
987	6913	83
988	6919	76
989	6925	69
990	6931	62
991	6938	55
992	6944	48
993	6951	41
994	6957	34
995	6963	27
996	6970	20
997	6976	13
998	6983	6
999	6988	0
